text,index
"['didnt', 'slow', 'grow', 'team', 'revloc', 'hire', 'dedic', 'client', 'onboard', 'coordin', 'gra']",208
"['there', 'new', 'case', 'report', 'mississippi', 'weekend', 'get', 'better', 'mcj']",209
"['ny', 'hero', 'act', 'design', 'extend', 'octob']",210
"['peopl', 'arent', 'quit', 'job', 'vaccin', 'mandat']",211
"['pediatr', 'infect', 'hospit', 'rate', 'fall', 'first', 'time', 'week']",212
"['deni', 'rancourt', 'vaccin', 'reckless', 'experi']",213
"['vaccin', 'profit', 'pfizer', 'johnson', 'johnson', 'moderna', 'astrazeneca']",214
"['mukhyamantri', 'pariwar', 'aarthik', 'sahayata', 'yojana', 'cm', 'arvind', 'kejriw', 'review', 'progress', 'scheme', 'fo']",215
"['idaho', 'daili', 'new', 'case', 'wearamask']",216
"['india', 'report', 'new', 'case', 'lowest', 'day', 'india', 'monday', 'report', 'new', 'case', 'lo']",217
"['take', 'differ', 'type', 'vaccin', 'recommend', 'fulli', 'vaccin', 'obtain']",218
"['vaccin', 'pfizer', 'effect', 'drop', 'six', 'month', 'receiv', 'second', 'dose', 'new', 'studi']",219
"['grip', 'thailand', 'still', 'far', 'number', 'vaccin', 'pas']",220
"['stockmarketnew', 'india', 'total', 'case', 'reach', 'mln', 'death', 'toll', 'reach', 'health', 'ministri']",221
"['presa', 'brief', 'white', 'hous', 'respons', 'team', 'publi']",222
"['kickstart', 'creator', 'cope', 'kickstart', 'crypto', 'crypto', 'news']",223
"['merck', 'pill', 'seen', 'huge', 'advanc', 'rais', 'hope', 'prevent', 'death']",224
"['stephani', 'grisham', 'former', 'trump', 'press', 'secretari', 'say', 'respons', 'cost', 'live', 'she', 'terrifi']",225
"['parti', 'failur', 'stop', 'bla', 'peopl', 'economi', 'roar']",226
"['day', 'u', 'death', 'counti', 'wv', 'visual', 'give', 'insight', 'thank', 'ou']",227
"['read', 'fine', 'print', 'read', 'exposepf', 'exposefda', 'exposepharma']",228
"['doctor', 'grow', 'frustrat', 'denial', 'misinform']",229
"['latest', 'mhanyz', 'daili', 'thank', 'afp']",230
"['manitoba', 'head', 'toward', 'sever', 'scenario', 'top', 'doctor', 'say', 'model', 'estim', 'provinc', 'could', 'see', 'mo']",231
"['new', 'johnson', 'johnson', 'data', 'show', 'second', 'shot', 'boost', 'antibodi', 'protect']",232
"['region', 'assames', 'morn', 'news', 'hour']",233
"['two', 'defend', 'charg', 'separ', 'vaccin', 'record', 'card', 'fraud']",234
"['total', 'number', 'sampl', 'test', 'th', 'octob', 'includ', 'sampl', 'test']",235
"['india', 'total', 'case', 'reach', 'mln', 'death', 'toll', 'reach', 'health', 'ministri']",236
"['american', 'investor', 'expect', 'stock', 'market', 'crash', 'inflat']",237
"['well', 'half', 'way', 'book', 'jab', 'yet', 'find', 'get', 'appoint']",238
"['ive', 'ad', 'posit', 'case', 'statist', 'despit', 'complet', 'dose', 'astrzeneca']",239
"['treatment', 'rush', 'fda', 'trial', 'stop', 'earli', 'posit', 'result']",240
"['india', 'report', 'new', 'case', 'lowest', 'day']",241
"['new', 'zealand', 'abandon', 'goal', 'elimin']",242
"['mgolf', 'news', 'victorian', 'govern', 'backflip', 'ridicul', 'toilet', 'ban', 'melbourn']",243
"['know', 'vaccin', 'child', 'long', 'haul']",244
"['brekko', 'big', 'bad', 'question', 'curfew', 'extend', 'kenya', 'anoth', 'day', 'allow', 'vaccin']",245
"['dobson', 'footbal', 'look', 'forward', 'westwood', 'follow', 'cancel', 'azprep']",246
"['kenya', 'extend', 'curfew', 'day', 'case', 'reduc', 'kenya', 'extend', 'current', 'contain', 'curfew']",247
